Mach,Alpha,Delta,CD,CL,CM
0.6,0,0,1.230226601,0.001978869,-0.004066482
0.6,5,0,1.396429324,0.345478757,-0.113362228
0.6,10,0,1.439834464,0.682969277,-0.159062209
0.8,0,0,1.141536942,0.020395092,0.012415006
0.8,5,0,1.30716309,0.263070275,-0.116679313
0.8,10,0,1.464307826,0.634922466,-0.154549106
1.2,0,0,1.544195143,-0.018671024,0.004939905
1.2,5,0,1.628943174,0.243322647,-0.043047431
1.2,10,0,1.765213887,0.536374161,-0.060080499
1.6,0,0,1.650186339,0.00033827,0.008854728
1.6,5,0,1.713068848,0.195518517,-0.018307463
1.6,10,0,1.830380832,0.526455342,-0.043117247
2,0,0,1.656628213,0.000128226,-0.001528439
2,5,0,1.720072045,0.20621548,-0.028989696
2,10,0,1.837759359,0.597759321,-0.070909837
0.6,0,4,1.375567819,-0.083700592,0.03156416
0.6,5,4,1.44871302,0.246924998,-0.051759682
0.6,10,4,1.499695721,0.60669844,-0.124883855
0.8,0,4,1.351767517,-0.098636098,0.029804118
0.8,5,4,1.39161661,0.215588037,-0.057956615
0.8,10,4,1.535326544,0.571662117,-0.120570963
1.2,0,4,1.588464048,-0.048417001,0.013021378
1.2,5,4,1.681116354,0.183868105,-0.008657977
1.2,10,4,1.801333019,0.507079992,-0.038407574
1.6,0,4,1.692414063,-0.045282847,0.014874322
1.6,5,4,1.752578368,0.147862274,0.007808909
1.6,10,4,1.862730769,0.497472085,-0.018030821
2,0,4,1.702972329,-0.041913981,0.016260003
2,5,4,1.761117068,0.159498035,-0.006129178
2,10,4,1.866511496,0.591356355,-0.05643237
0.6,0,8,1.379621204,-0.118622765,0.058537988
0.6,5,8,1.423854164,0.159051148,-0.015379432
0.6,10,8,1.525966841,0.477688237,-0.0737014
0.8,0,8,1.187473643,-0.151941233,0.05685992
0.8,5,8,1.390940397,0.116125868,-0.02101909
0.8,10,8,1.509573287,0.483754769,-0.071445222
1.2,0,8,1.599170785,-0.102575928,0.040163991
1.2,5,8,1.673279116,0.127336597,0.020086996
1.2,10,8,1.780966174,0.44694868,-0.005433286
1.6,0,8,1.719813571,-0.086974678,0.040828395
1.6,5,8,1.749303893,0.096027764,0.033195014
1.6,10,8,1.856125171,0.440366151,0.0114407
2,0,8,1.715053712,-0.08103571,0.038341077
2,5,8,1.875638222,0.23354036,0.013566345
2,10,8,1.84211998,0.526608589,-0.023228516
