Mach,Alpha,CD_even,CL_even,CM_even
0.6,0,0.2555491845000002,-0.2039914995,0.09937005800000001
0.6,5,0.16651234550000016,-0.35652814050000003,0.1683602515
0.6,10,0.04733014800000013,-0.5912739619999999,0.286720168
0.8,0,0.151331125,-0.223382238,0.10433239949999999
0.8,5,0.11587329250000011,-0.3330804785,0.189375906
0.8,10,0.034456759,-0.6105608730000001,0.3122471445
1.2,0,0.10777134749999995,-0.240223563,0.11369247299999999
1.2,5,0.0767821070000001,-0.41365906100000005,0.2117220165
1.2,10,-0.020715603500000013,-0.6801048654999999,0.363373702
1.6,0,0.10927426949999997,-0.2107330185,0.107508633
1.6,5,0.05864726399999998,-0.3518972695,0.185248547
1.6,10,-0.018462831999999985,-0.529996891,0.2864364465
2.0,0,0.08317740849999988,-0.17275171150000002,0.08748339249999999
2.0,5,0.12344624699999995,-0.19956431349999998,0.137155855
2.0,10,0.009541964499999889,-0.36156502150000003,0.19993189500000003
